regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,8,0,sim_study2_near_sub59,137,941.4330613471236,1570.7166250621335
lazy_50,8,0,sim_study2_near_sub58,138,0.0,3269.443676430812
lazy_50,8,0,sim_study2_near_sub70,207,606.6037366582306,926.4956225471996
lazy_50,8,0,sim_study2_near_sub64,376,76.40867014691749,1337.1919951315253
lazy_50,8,8,sim_study2_near_sub41,5545,133.83927327838194,327.5404051593582
lazy_50,8,8,sim_study1_near_sub23,4761,459.77883654357413,3538.715265432378
lazy_50,8,8,sim_study1_near_sub37,5213,0.0,1495.6767545857035
lazy_50,8,8,sim_study1_near_sub36,5422,0.0,878.7354400307023
lazy_50,8,8,sim_study2_near_sub68,5280,139.19580350039806,730.53223843828
lazy_50,8,8,sim_study2_near_sub42,5282,0.0,3040.2078245494886
lazy_50,8,8,sim_study1_near_sub34,5328,313.66674598314546,1020.5731203044436
lazy_50,8,8,sim_study1_near_sub21,5529,338.71107616945085,1498.2840485877032
lazy_50,8,8,sim_study1_near_sub35,5466,487.3209041391814,121.37150751207083
lazy_50,8,8,sim_study2_near_sub43,5519,598.8636388211721,553.5483458888677
lazy_50,8,8,sim_study2_near_sub57,5514,656.9775474818459,1377.9003009281018
lazy_50,8,8,sim_study2_near_sub53,5215,0.0,1738.252328395067
lazy_50,8,8,sim_study2_near_sub47,5315,0.0,3742.4789386010916
lazy_50,8,8,sim_study1_near_sub31,168,1028.2912422836143,1587.246382921548
lazy_50,8,8,sim_study1_near_sub18,5327,13.568765732413185,494.6936490040728
lazy_50,8,8,sim_study1_near_sub24,4264,139.26993579469683,1994.0777544794755
lazy_50,8,8,sim_study1_near_sub30,4022,0.0,2071.6244914029153
lazy_50,8,8,sim_study2_near_sub46,5298,0.0,3235.3415261877994
lazy_50,8,8,sim_study2_near_sub52,194,313.9202912620161,378.2316711059017
lazy_50,8,8,sim_study2_near_sub44,241,857.1569694735712,1007.6890351684459
lazy_50,8,8,sim_study1_near_sub26,5116,742.2656498892632,839.1249769340006
lazy_50,8,8,sim_study1_near_sub32,5141,218.18177393695805,943.1347153915713
lazy_50,8,8,sim_study1_near_sub33,5383,353.57516873479995,1198.3364306402084
lazy_50,8,8,sim_study2_near_sub51,4965,132.47708143830152,452.82823792218795
lazy_50,8,8,sim_study2_near_sub45,5353,0.0,4718.327370804943
lazy_50,8,8,sim_study2_near_sub36,5513,0.0,3048.898629697955
lazy_50,8,8,sim_study1_near_sub40,5053,1130.292065827605,1208.0468166251858
lazy_50,8,8,sim_study1_near_sub54,5027,27.15065190964073,1387.26269431399
lazy_50,8,8,sim_study1_near_sub41,4970,0.0,4602.839387291918
lazy_50,8,8,sim_study1_near_sub69,5047,0.0,1130.1843557061288
lazy_50,8,8,sim_study2_near_sub37,5165,382.3532700901604,0.0
lazy_50,8,8,sim_study2_near_sub21,5143,0.0,1367.5352739583634
lazy_50,8,8,sim_study1_near_sub57,4462,34.324993508339716,1375.0449750876242
lazy_50,8,8,sim_study1_near_sub43,5279,0.0,1819.4266831544267
lazy_50,8,8,sim_study1_near_sub8,3960,98.91164536783504,2652.159593465346
lazy_50,8,8,sim_study1_near_sub9,4305,289.11484617798277,1749.38101507922
lazy_50,8,8,sim_study1_near_sub56,5447,177.36759475778666,1320.3055038879436
lazy_50,8,8,sim_study2_near_sub20,2699,135.05314444177247,1811.355693319103
lazy_50,8,8,sim_study2_near_sub30,3960,139.3375743935404,2123.975157345235
lazy_50,8,8,sim_study1_near_sub52,2225,825.9427580058239,275.36114466242725
lazy_50,8,8,sim_study2_near_sub8,4914,487.01506240943957,1401.7223425731238
lazy_50,8,8,sim_study2_near_sub9,5521,595.9288018734487,1147.881303245197
